H55AA,喪,상
H55AE,單,단
H55DA,嗚,오
H5617,嘗,상
H5668,器,기
H56B4,嚴,엄
H56DA,囚,수
H56DB,四,사
H56DE,回,회
H56E0,因,인
H56F0,困,곤
H56FA,固,고
H570B,國,국
H570D,圍,위
H5712,園,원
H5713,圓,원
H5716,圖,도
H5718,團,단
H571F,土,토
H5728,在,재
H5730,地,지
H5747,均,균
H5750,坐,좌
H5764,坤,곤
H5782,垂,수
H57CB,埋,매
H57CE,城,성
H57DF,域,역
H57F7,執,집
H57F9,培,배
H57FA,基,기
H5802,堂,당
H5805,堅,견
H5824,堤,제
H5831,報,보
H5834,場,장
H584A,塊,괴
H5854,塔,탑
H5857,塗,도
H585E,塞,새
H5883,境,경
H5893,墓,묘
H589E,增,증
H58A8,墨,묵
H58AE,墮,타
H58B3,墳,분
H58BB,墻,장
H58C1,壁,벽
H58C7,壇,단
H58D3,壓,압
H58DE,壞,괴
H58E4,壤,양
H58EB,士,사
H58EC,壬,임
H58EF,壯,장
H58FD,壽,수
H590F,夏,하
H5915,夕,석
H5916,外,외
H591A,多,다
H591C,夜,야
H5922,夢,몽
H5927,大,대
H5929,天,천
H592A,太,태
H592B,夫,부
H592E,央,앙
H5931,失,실
H5937,夷,이
H5947,奇,기
H5948,奈,내
H5949,奉,봉
H594F,奏,주
H5951,契,계
H5954,奔,분
H595A,奚,해
H596A,奪,탈
H596C,奬,장
H596E,奮,분
H5973,女,녀
H5974,奴,노
H597D,好,호
H5982,如,여
H5983,妃,비
H5984,妄,망
H5999,妙,묘
H59A5,妥,타
H59A8,妨,방
H59B9,妹,매
H59BB,妻,처
H59BE,妾,첩
H59CA,姊,자
H59CB,始,시
H59D1,姑,고
H59D3,姓,성
H59D4,委,위
H59E6,姦,간
H59EA,姪,질
H59FB,姻,인
H59FF,姿,자
H5A01,威,위
H5A18,娘,낭
H5A1B,娛,오
H5A5A,婚,혼
H5A62,婢,비
H5A66,婦,부
H5A92,媒,매
H5ACC,嫌,혐
H5B50,子,자
H5B54,孔,공
H5B57,字,자
H5B58,存,존
H5B5D,孝,효
H5B5F,孟,맹
H5B63,季,계
H5B64,孤,고
H5B6B,孫,손
H5B70,孰,숙
H5B78,學,학
H5B85,宅,택
H5B87,宇,우
H5B88,守,수
H5B89,安,안
H5B8C,完,완
H5B97,宗,종
H5B98,官,관
H5B99,宙,주
H5B9A,定,정
H5B9C,宜,의
H5BA2,客,객
H5BA3,宣,선
H5BA4,室,실
H5BAE,宮,궁
H5BB0,宰,재
H5BB3,害,해
H5BB4,宴,연
H5BB6,家,가
H5BB9,容,용
H5BBF,宿,숙
H5BC2,寂,적
H5BC4,寄,기
H5BC5,寅,인
H5BC6,密,밀
H5BCC,富,부
H5BD2,寒,한
H5BDF,察,찰
H5BE1,寡,과
H5BE2,寢,침
H5BE6,實,실
H5BE7,寧,녕
H5BE9,審,심
H5BEB,寫,사
H5BEC,寬,관
H5BF6,寶,보
H5BF8,寸,촌
H5BFA,寺,사
H5C01,封,봉
H5C04,射,사
H5C07,將,장
H5C08,專,전
H5C0A,尊,존
H5C0B,尋,심
H5C0D,對,대
H5C0E,導,도
H5C0F,小,소
H5C11,少,소
H5C16,尖,첨
H5C19,尙,상
H5C24,尤,우
H5C31,就,취
H5C3A,尺,척
H5C3E,尾,미
H5C40,局,국
H5C45,居,거
H5C48,屈,굴
H5C4B,屋,옥
H5C55,展,전
H5C5B,屛,병
H5C62,屢,루
H5C64,層,층
H5C65,履,리
