한자,음,훈,전체,훈음,구분
伏 ,복,엎드릴,伏 (엎드릴 복),엎드릴 복,중
卜 ,복,점,卜 (점 복),점 복,고
本 ,본,밑,本 (밑 본),밑 본,중
逢,봉,만날,逢 (만날 봉),만날 봉,중
蜂,봉,벌,蜂 (벌 봉),벌 봉,고
峯,봉,봉우리,峯 (봉우리 봉),봉우리 봉,고
鳳,봉,봉황새,鳳 (봉황새 봉),봉황새 봉,고
奉 ,봉,받들,奉 (받들 봉),받들 봉,중
封 ,봉,봉할,封 (봉할 봉),봉할 봉,고
部,부,거느릴,部 (거느릴 부),거느릴 부,중
賦,부,구실,賦 (구실 부),구실 부,고
赴,부,나아갈,赴 (나아갈 부),나아갈 부,고
富,부,넉넉할,富 (넉넉할 부),넉넉할 부,중
扶,부,도울,扶 (도울 부),도울 부,중
浮,부,뜰,浮 (뜰 부),뜰 부,중
府,부,마을,府 (마을 부),마을 부,고
婦,부,며느리,婦 (며느리 부),며느리 부,중
副,부,버금,副 (버금 부),버금 부,고
符,부,부신,符 (부신 부),부신 부,고
附,부,붙을,附 (붙을 부),붙을 부,고
腐,부,썩을,腐 (썩을 부),썩을 부,고
父,부,아비,父 (아비 부),아비 부,중
簿,부,장부,簿 (장부 부),장부 부,고
夫,부,지아비,夫 (지아비 부),지아비 부,중
負,부,질,負 (질 부),질 부,고
否 ,부,아닐,否 (아닐 부),아닐 부,중
付 ,부,줄,付 (줄 부),줄 부,고
北 ,북,북녘,北 (북녘 북),북녘 북,중
粉,분,가루,粉 (가루 분),가루 분,고
奔,분,달릴,奔 (달릴 분),달릴 분,고
奮,분,떨칠,奮 (떨칠 분),떨칠 분,고
憤,분,성낼,憤 (성낼 분),성낼 분,고
紛,분,어지러워질,紛 (어지러워질 분),어지러워질 분,고
分 ,분,나눌,分 (나눌 분),나눌 분,중
墳 ,분,무덤,墳 (무덤 분),무덤 분,고
佛,불,부처,佛 (부처 불),부처 불,중
不 ,불,아닐,不 (아닐 불),아닐 불,중
拂 ,불,떨,拂 (떨 불),떨 불,고
崩 ,붕,무너질,崩 (무너질 붕),무너질 붕,고
朋 ,붕,벗,朋 (벗 붕),벗 붕,중
比,비,견줄,比 (견줄 비),견줄 비,중
飛,비,날,飛 (날 비),날 비,중
碑,비,돌기둥,碑 (돌기둥 비),돌기둥 비,고
肥,비,살찔,肥 (살찔 비),살찔 비,고
祕,비,숨길,祕 (숨길 비),숨길 비,고
悲,비,슬플,悲 (슬플 비),슬플 비,중
費,비,쓸,費 (쓸 비),쓸 비,고
非,비,아닐,非 (아닐 비),아닐 비,중
婢,비,여자 종,婢 (여자 종 비),여자 종 비,고
妃,비,왕비,妃 (왕비 비),왕비 비,고
批,비,칠,批 (칠 비),칠 비,고
鼻,비,코,鼻 (코 비),코 비,중
備 ,비,갖출,備 (갖출 비),갖출 비,중
卑 ,비,낮을,卑 (낮을 비),낮을 비,고
頻,빈,자주,頻 (자주 빈),자주 빈,고
貧 ,빈,가난할,貧 (가난할 빈),가난할 빈,중
賓 ,빈,손,賓 (손 빈),손 빈,고
氷 ,빙,얼음,氷 (얼음 빙),얼음 빙,중
聘 ,빙,찾아갈,聘 (찾아갈 빙),찾아갈 빙,고
邪,사,간사할,邪 (간사할 사),간사할 사,고
四,사,넉,四 (넉 사),넉 사,중
辭,사,말,辭 (말 사),말 사,고
詞,사,말씀,詞 (말씀 사),말씀 사,고
司,사,맡을,司 (맡을 사),맡을 사,고
沙,사,모래,沙 (모래 사),모래 사,고
巳,사,뱀,巳 (뱀 사),뱀 사,중
蛇,사,뱀,蛇 (뱀 사),뱀 사,고
捨,사,버릴,捨 (버릴 사),버릴 사,고
寫,사,베낄,寫 (베낄 사),베낄 사,고
仕,사,벼슬할,仕 (벼슬할 사),벼슬할 사,중
斜,사,비낄,斜 (비낄 사),비낄 사,고
謝,사,사례할,謝 (사례할 사),사례할 사,중
私,사,사사로울,私 (사사로울 사),사사로울 사,중
思,사,생각할,思 (생각할 사),생각할 사,중
士,사,선비,士 (선비 사),선비 사,중
詐,사,속일,詐 (속일 사),속일 사,고
師,사,스승,師 (스승 사),스승 사,중
使,사,시킬,使 (시킬 사),시킬 사,중
射,사,쏠,射 (쏠 사),쏠 사,중
史,사,역사,史 (역사 사),역사 사,중
斯,사,이,斯 (이 사),이 사,고
寺,사,절,寺 (절 사),절 사,중
祀,사,제사,祀 (제사 사),제사 사,고
査,사,조사할,査 (조사할 사),조사할 사,고
死,사,죽을,死 (죽을 사),죽을 사,중
賜,사,줄,賜 (줄 사),줄 사,고
舍,사,집,舍 (집 사),집 사,중
社,사,토지의 신,社 (토지의 신 사),토지의 신 사,고
絲,사,실,絲(실 사),실 사,중
似 ,사,같을,似 (같을 사),같을 사,고
事 ,사,일,事 (일 사),일 사,중
朔,삭,초하루,朔 (초하루 삭),초하루 삭,고
削 ,삭,깎을,削 (깎을 삭),깎을 삭,고
産,산,낳을,産 (낳을 산),낳을 산,중
算,산,셀,算 (셀 산),셀 산,중
散,산,흩어질,散 (흩어질 산),흩어질 산,중
山 ,산,뫼,山 (뫼 산),뫼 산,중
殺 ,살,죽일,殺 (죽일 살),죽일 살,중
三 ,삼,석,三 (석 삼),석 삼,중
償,상,갚을,償 (갚을 상),갚을 상,고
嘗,상,맛볼,嘗 (맛볼 상),맛볼 상,고
桑,상,뽕나무,桑 (뽕나무 상),뽕나무 상,고
床,상,상,床 (상 상),상 상,고
祥,상,상서로울,祥 (상서로울 상),상서로울 상,고
賞,상,상줄,賞 (상줄 상),상줄 상,중
傷,상,상처,傷 (상처 상),상처 상,중
想,상,생각할,想 (생각할 상),생각할 상,중
相,상,서로,相 (서로 상),서로 상,중
霜,상,서리,霜 (서리 상),서리 상,중
尙,상,오히려,尙 (오히려 상),오히려 상,중
詳,상,자세할,詳 (자세할 상),자세할 상,고
商,상,장사,商 (장사 상),장사 상,중
喪,상,죽을,喪 (죽을 상),죽을 상,중
裳,상,치마,裳 (치마 상),치마 상,고
象,상,코 끼리,象 (코 끼리 상),코 끼리 상,고
常,상,항상,常 (항상 상),항상 상,중
狀,상,형상,狀 (형상 상),형상 상,고
上 ,상,위,上 (위 상),위 상,중
像 ,상,형상,像 (형상 상),형상 상,고
塞 ,새,변방,塞 (변방 새),변방 새,고
色 ,색,빛,色 (빛 색),빛 색,중
索 ,색,찾을,索 (찾을 색),찾을 색,고
生 ,생,날,生 (날 생),날 생,중
逝,서,갈,逝 (갈 서),갈 서,고
署,서,관청,署 (관청 서),관청 서,고
暑,서,더울,暑 (더울 서),더울 서,중
誓,서,맹세할,誓 (맹세할 서),맹세할 서,고
西,서,서녘,西 (서녘 서),서녘 서,중
緖,서,실마리,緖 (실마리 서),실마리 서,고
書,서,쓸,書 (쓸 서),쓸 서,중
恕,서,용서할,恕 (용서할 서),용서할 서,고
敍,서,차례,敍 (차례 서),차례 서,고
徐,서,천천히 할,徐 (천천히 할 서),천천히 할 서,고
庶 ,서,여러,庶 (여러 서),여러 서,고
序 ,서,차례,序 (차례 서),차례 서,중
石,석,돌,石 (돌 석),돌 석,중
惜,석,아낄,惜 (아낄 석),아낄 석,중
昔,석,옛,昔 (옛 석),옛 석,중
席,석,자리,席 (자리 석),자리 석,중
釋,석,풀,釋 (풀 석),풀 석,고
析 ,석,가를,析 (가를 석),가를 석,고
夕 ,석,저녁,夕 (저녁 석),저녁 석,중
選,선,가릴,選 (가릴 선),가릴 선,중
鮮,선,고울,鮮 (고울 선),고울 선,중
旋,선,돌,旋 (돌 선),돌 선,고
先,선,먼저,先 (먼저 선),먼저 선,중
船,선,배,船 (배 선),배 선,중
禪,선,봉선,禪 (봉선 선),봉선 선,고
線,선,줄,線 (줄 선),줄 선,중
善,선,착할,善 (착할 선),착할 선,중
宣 ,선,베풀,宣 (베풀 선),베풀 선,고
仙 ,선,신선,仙 (신선 선),신선 선,중
雪,설,눈,雪 (눈 설),눈 설,중
說,설,말씀,說 (말씀 설),말씀 설,중
設,설,베풀,設 (베풀 설),베풀 설,중
舌 ,설,혀,舌 (혀 설),혀 설,중
涉,섭,건널,涉 (건널 섭),건널 섭,고
攝 ,섭,당길,攝 (당길 섭),당길 섭,고
盛,성,담을,盛 (담을 성),담을 성,중
星,성,별,星 (별 성),별 성,중
省,성,살필,省 (살필 성),살필 성,중
姓,성,성,姓 (성 성),성 성,중
聖,성,성스러울,聖 (성스러울 성),성스러울 성,중
性,성,성품,性 (성품 성),성품 성,중
聲,성,소리,聲 (소리 성),소리 성,중
成,성,이룰,成 (이룰 성),이룰 성,중
誠,성,정성,誠 (정성 성),정성 성,중
城 ,성,성,城 (성 성),성 성,중
細,세,가늘,細 (가늘 세),가늘 세,중
勢,세,기세,勢 (기세 세),기세 세,중
稅,세,세금,稅 (세금 세),세금 세,중
洗,세,씻을,洗 (씻을 세),씻을 세,중
歲,세,해,歲 (해 세),해 세,중
世 ,세,세상,世 (세상 세),세상 세,중
蘇,소,깨어날,蘇 (깨어날 소),깨어날 소,고
所,소,바,所 (바 소),바 소,중
昭,소,밝을,昭 (밝을 소),밝을 소,고
燒,소,불태울,燒 (불태울 소),불태울 소,고
消,소,사라질,消 (사라질 소),사라질 소,중
掃,소,쓸,掃 (쓸 소),쓸 소,고
笑,소,웃을,笑 (웃을 소),웃을 소,중
少,소,적을,少 (적을 소),적을 소,중
疏,소,트일,疏 (트일 소),트일 소,고
蔬,소,푸성귀,蔬 (푸성귀 소),푸성귀 소,고
訴,소,하소연할,訴 (하소연할 소),하소연할 소,고
素,소,흴,素 (흴 소),흴 소,중
騷,소,떠들,騷(떠들 소),떠들 소,고
召 ,소,부를,召 (부를 소),부를 소,고
小 ,소,작을,小 (작을 소),작을 소,중
束,속,묶을,束 (묶을 속),묶을 속,고
速,속,빠를,速 (빠를 속),빠를 속,중
續,속,이을,續 (이을 속),이을 속,중
粟,속,조,粟 (조 속),조 속,고
屬 ,속,엮을,屬 (엮을 속),엮을 속,고
俗 ,속,풍속,俗 (풍속 속),풍속 속,중
損 ,손,덜,損 (덜 손),덜 손,고
孫 ,손,손자,孫 (손자 손),손자 손,중
頌,송,기릴,頌 (기릴 송),기릴 송,고
送,송,보낼,送 (보낼 송),보낼 송,중
誦,송,욀,誦 (욀 송),욀 송,고
松 ,송,소나무,松 (소나무 송),소나무 송,중
訟 ,송,송사할,訟 (송사할 송),송사할 송,고
鎖,쇄,쇠사슬,鎖 (쇠사슬 쇄),쇠사슬 쇄,고
刷 ,쇄,쓸,刷 (쓸 쇄),쓸 쇄,고
𮕩 ,쇠,쇠할,𮕩 (쇠할 쇠),쇠할 쇠,고
收,수,거둘,收 (거둘 수),거둘 수,중
需,수,구할,需 (구할 수),구할 수,고
輸,수,나를,輸 (나를 수),나를 수,고
樹,수,나무,樹 (나무 수),나무 수,중
誰,수,누구,誰 (누구 수),누구 수,중
殊,수,다를,殊 (다를 수),다를 수,고
垂,수,드리울,垂 (드리울 수),드리울 수,고
隨,수,따를,隨 (따를 수),따를 수,고
首,수,머리,首 (머리 수),머리 수,중
須,수,모름지기,須 (모름지기 수),모름지기 수,중
壽,수,목숨,壽 (목숨 수),목숨 수,중
水,수,물,水 (물 수),물 수,중
受,수,받을,受 (받을 수),받을 수,중
雖,수,비록,雖 (비록 수),비록 수,중
秀,수,빼어날,秀 (빼어날 수),빼어날 수,중
數,수,셀,數 (셀 수),셀 수,중
手,수,손,手 (손 수),손 수,중
愁,수,시름,愁 (시름 수),시름 수,중
遂,수,이를,遂 (이를 수),이를 수,고
睡,수,잘,睡 (잘 수),잘 수,고
帥,수,장수,帥 (장수 수),장수 수,고
授,수,줄,授 (줄 수),줄 수,중
守,수,지킬,守 (지킬 수),지킬 수,중
獸,수,짐승,獸 (짐승 수),짐승 수,고
搜,수,찾을,搜 (찾을 수),찾을 수,고
囚 ,수,가둘,囚 (가둘 수),가둘 수,고
修 ,수,닦을,修 (닦을 수),닦을 수,중
淑,숙,맑을,淑 (맑을 숙),맑을 숙,중
宿,숙,묵을,宿 (묵을 숙),묵을 숙,중
肅,숙,엄숙할,肅 (엄숙할 숙),엄숙할 숙,고
熟,숙,익을,熟 (익을 숙),익을 숙,고
孰 ,숙,누구,孰 (누구 숙),누구 숙,고
叔 ,숙,아재비,叔 (아재비 숙),아재비 숙,중
瞬,순,눈깜짝일,瞬 (눈깜짝일 순),눈깜짝일 순,고
循,순,돌,循 (돌 순),돌 순,고
殉,순,따라 죽을,殉 (따라 죽을 순),따라 죽을 순,고
順,순,순할,順 (순할 순),순할 순,중
旬,순,열흘,旬 (열흘 순),열흘 순,고
脣,순,입술,脣 (입술 순),입술 순,고
巡 ,순,돌,巡 (돌 순),돌 순,고
純 ,순,순수할,純 (순수할 순),순수할 순,중
述,술,지을,述 (지을 술),지을 술,고
戌 ,술,개,戌 (개 술),개 술,중
術 ,술,재주,術 (재주 술),재주 술,고
崇 ,숭,높을,崇 (높을 숭),높을 숭,중
襲,습,엄습할,襲 (엄습할 습),엄습할 습,고
習,습,익힐,習 (익힐 습),익힐 습,중
拾 ,습,주울,拾 (주울 습),주울 습,중
濕 ,습,축축할,濕 (축축할 습),축축할 습,고
承,승,받들,承 (받들 승),받들 승,중
昇,승,오를,昇 (오를 승),오를 승,고
勝,승,이길,勝 (이길 승),이길 승,중
僧 ,승,중,僧 (중 승),중 승,고
乘 ,승,탈,乘 (탈 승),탈 승,중
時,시,때,時 (때 시),때 시,중
施,시,베 풀,施 (베 풀 시),베 풀 시,중
示,시,보일,示 (보일 시),보일 시,중
視,시,볼,視 (볼 시),볼 시,중
詩,시,시,詩 (시 시),시 시,중
試,시,시험할,試 (시험할 시),시험할 시,중
是,시,옳을,是 (옳을 시),옳을 시,중
市,시,저자,市 (저자 시),저자 시,중
矢,시,화살,矢 (화살 시),화살 시,고
侍 ,시,모실,侍 (모실 시),모실 시,고
始 ,시,처음,始 (처음 시),처음 시,중
飾,식,꾸밀,飾 (꾸밀 식),꾸밀 식,고
食,식,먹을,食 (먹을 식),먹을 식,중
植,식,심을,植 (심을 식),심을 식,중
識,식,알,識 (알 식),알 식,중
式 ,식,법,式 (법 식),법 식,중
息 ,식,숨쉴,息 (숨쉴 식),숨쉴 식,고
神,신,귀신,神 (귀신 신),귀신 신,중
辛,신,매울,辛 (매울 신),매울 신,중
身,신,몸,身 (몸 신),몸 신,중
愼,신,삼갈,愼 (삼갈 신),삼갈 신,고
新,신,새,新 (새 신),새 신,중
晨,신,새벽,晨 (새벽 신),새벽 신,고
臣,신,신하,臣 (신하 신),신하 신,중
申,신,원숭이,申 (원숭이 신),원숭이 신,중
信 ,신,믿을,信 (믿을 신),믿을 신,중
伸 ,신,펼,伸 (펼 신),펼 신,고
實,실,열매,實 (열매 실),열매 실,중
室,실,집,室 (집 실),집 실,중
失 ,실,잃을,失 (잃을 실),잃을 실,중
深,심,깊을,深 (깊을 심),깊을 심,중
甚,심,심할,甚 (심할 심),심할 심,중
尋,심,찾을,尋 (찾을 심),찾을 심,고
心 ,심,마음,心 (마음 심),마음 심,중
審 ,심,살필,審 (살필 심),살필 심,고
十 ,십,열,十 (열 십),열 십,중
